252,252,64,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,64,252,252
252,111,111,111,111,111,111,111,252,111,111,111,111,111,111,75,73,75,73,74,73,74,111,111,111,68,252,252,111,111,111,111,111,254,246,247,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,160,252,64,252,252
252,111,111,252,252,252,252,252,252,111,111,111,111,111,111,75,73,75,73,74,73,74,111,111,111,65,252,111,111,111,111,111,111,246,247,246,247,158,158,158,158,158,158,158,158,158,158,158,158,163,125,125,64,158,158,158,158,158,158,158,160,64,252,252
252,252,252,252,111,111,111,111,111,111,111,111,246,247,111,75,73,75,86,74,246,247,111,111,246,247,254,111,166,111,111,111,111,111,246,247,254,158,158,158,158,158,158,158,158,158,158,158,163,125,125,125,64,158,158,158,158,163,125,158,158,64,160,252
111,111,111,111,111,111,111,111,166,111,111,111,111,111,111,75,73,75,73,74,73,74,111,111,111,111,111,111,174,111,111,111,111,111,111,246,246,247,158,158,158,158,163,107,125,125,107,125,125,125,125,125,125,125,125,189,163,125,125,158,158,64,161,252
111,111,111,111,111,111,111,111,174,111,246,247,111,75,73,75,73,75,86,74,73,74,73,73,73,73,75,73,73,74,166,111,111,111,111,246,247,246,247,158,158,163,125,107,125,32,107,125,125,125,125,125,125,125,125,125,125,125,125,158,158,64,161,252
111,111,111,111,111,111,166,111,174,111,166,111,111,75,73,125,125,125,125,125,125,125,125,73,73,73,75,86,86,74,174,166,111,111,111,111,246,247,246,247,158,159,164,164,160,125,107,107,107,107,47,111,47,107,107,107,107,125,125,158,158,64,161,252
111,111,111,111,166,111,174,111,174,111,174,111,111,75,125,75,73,75,73,74,73,74,73,125,73,73,75,73,73,74,174,174,111,111,111,111,111,111,111,246,247,158,163,125,125,125,125,125,125,125,125,125,125,125,125,189,160,125,125,158,158,64,252,252
252,252,111,111,174,111,151,151,151,151,151,151,151,125,73,75,73,75,125,125,73,74,73,73,125,246,247,246,247,246,247,246,247,246,247,246,247,111,111,111,246,247,159,164,164,164,164,164,164,164,164,160,125,125,162,164,159,160,125,158,163,252,252,252
252,252,252,252,252,252,252,252,252,252,252,252,252,125,73,75,73,125,125,125,125,74,73,73,125,254,246,247,246,247,246,247,246,247,246,247,246,247,111,111,111,246,247,158,158,158,158,158,158,158,158,159,160,125,158,158,158,158,158,163,252,252,252,252
167,167,167,136,136,136,136,136,136,136,136,136,136,75,73,75,125,125,125,125,125,125,73,73,73,73,75,73,73,74,173,126,167,167,246,247,246,247,167,167,246,247,254,246,247,158,158,158,158,158,158,158,159,164,158,158,158,158,163,252,252,252,252,252
252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,64,252,252,252,252,252,64,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
